AgencyID;Name;Street;PostalCode;City;CountryCode_code;PhoneNumber;EMailAddress;WebAddress
070005;Your Choice;Gustav-Jung-Str. 425;90455;Nuernberg;DE;+49 9256-4548-0;info@yc.sap;http://www.yc.sap
070007;Hot Socks Travel;224 Balnagask Rd;8053;Sydney;AU;+61 2 2004 5000;info@hst.co.au;http://www.hst.co.au
070010;Travel from Walldorf;Altonaer Str. 24;10557;Berlin;DE;+49 30-622860;info@travel-from-walldorf;http://www.travel-from-walldorf
070012;Ben McCloskey Ltd.;74 Court Oak Rd;B17 9TN;Boston;US;+44 121 365-2251;info@ben-mcCloskey.co.uk;http://www.ben-mcCloskey.co.uk
070014;Kangeroos;Lancaster drive 435;20001;London;GB;+44 171-2937638;info@hopp.sap;http://www.hopp.sap
070016;Ali's Bazar;45, Mac Arthur Boulevard;19113;Boston;US;+1 508-692-5200;info@ali.sap;http://www.ali.sap
070028;Aussie Travel;Queens Road;M8 7RYP;Manchester;GB;+44 161 2052000;info@down-under.sap;http://www.down-under.sap
070032;Sunny, Sunny, Sunny;1300 State Street;19003;Philadelphia;US;+1 215-090-7659;info@s3.sap;http://www.s3.sap
070042;The Ultimate Answer;Manchester Rd 20;AB1 1SA;Avon;FR;+44 934-66799;info@thulan.sap;http://www.thulan.sap
070046;Hendrik's;1200 Industrial Drive;60153;Boston;US;+1 08-924-9884;info@essen.sap/150596;http://www.essen.sap/150596
070049;Miles and More;777 Arlington Blvd.;46515;Elkhart;US;+1 646 867-6888;info@mam.sap;http://www.mam.sap
